,text,sentiment_score,sentiment_category
1785,important study thelancet find people living covid patient get disease patient patient appear infectious presymptomatic period symptomatic period contact tracing matter http co zaernrbqd,0.0,neutral
1786,state reported death day average fell http co foymaf nk,-2.0,negative
1787,actual budget package put forward p shown glittering corona lighting stage pmoindia nsitharaman hope may reach end user nitiaayog http co hc c iubo http co ryrgog sxw,3.0,positive
1788,make difficult compare hospitalization rate across state yet another reason summary statistic hospitalization data something attempted without extreme care understanding caveat see http co qkwwj u rk,1.0,positive
1789,new case covid lagos fct ogun kaduna oyo bayelsa gombe kano delta imo river niger bauchi plateau kwara case covid nigeria discharged death takeresponsibility http co ykoix ama,-2.0,negative
1790,rt pib india coronawatch total confirmed case case cured recovered sample tested,0.0,neutral
1791,coronavirus stick faster men shaved head,0.0,neutral
1792,remanagarajan state decides testing rate covid pvt lab reference max limit r per test fixed also advised free testing testing subsidized rate hour crisis,-2.0,negative
1793,long message attributed bill gate microsoft billionaire encouraging people reflect positively life coronavirus outbreak shared multiple country,3.0,positive
1794,indiafightscorona india report recovery rd successive day total recovered case close lakh highest world india recovery rate cross landmark staysafe indiawillwin http co ywtg fu h,2.0,positive
1795,close contact identified two work place americold mt wellington dominion road branch finance contacted far,0.0,neutral
1796,happening cnn drsanjaygupta angieholan alexmahadevan facebook live discussing covid misinformation answering question http co mdzargm qx http co wfjeir nc,-2.0,negative
1797,today honourable minister fmohnigeria convened live press briefing update nigerian ongoing response covid outbreak nigeria pm th march case covid recorded nigeria discharged death http co nvzbbyuzi,-4.0,negative
1798,covid nigeria update measure easing lockdown phase curfew pm restricted opening religious centre funeral limited people use latex glove non medical purpose closed school bar gym cinema restaurant nightclub http co yb z yybd,-4.0,negative
1799,gregmilamsky ten thousand oregonian driven home hundred find home gone return u correspondent gregmilamsky eyewitness piece u wildfire http co iywswhxmb,0.0,neutral
1800,people died covid france,-3.0,negative
1801,whether cdc scheduled announcement wear mask everyday life,0.0,neutral
1802,yesterday laboratory processed test bringing total number test completed date swab taken managed isolation quarantine facility yesterday,0.0,neutral
1803,indiafightscorona nearly new recovery came five state state ut reporting recovery rate staysafe indiawillwin http co zoyclneupi,0.0,neutral
1804,indiafightscorona increasing gap covid recovered active case india may september staysafe indiawillwin http co iiiwi b,1.0,positive
1805,itly control virus people italy saying goodbye worldoutside majid milan really heart breaking stand italy,0.0,neutral
1806,three new case covid confirmed nigeria nd march confirmed case covid recorded nigeria confirmed case discharged death http co jbrsrrejqb,-2.0,negative
1807,modiji postponejeeneet modiji highly risky u give exam critical condition covid sop followed many student staff requested plz postpone jee neet exam situation come normal http co qvl yjr,-3.0,negative
1808,updated timeline donald trump shifting response coronavirus http co pgxjssssu share trump moment think belong,1.0,positive
1809,elisa granato died shortly administered trial vaccine covid,-3.0,negative
1810,get sick remember antibiotic work virus like cause cold flu talk doctor best treatment keep others healthy http co nytdikcde http co h awkzka p,3.0,positive
1811,eating alkaline food ph level kill sars cov virus,-3.0,negative
1812,triump advocate middle age bloodletting http co dw hynlsvb donaldtrump virus conspiracytheories dictatorship vaccine,0.0,neutral
1813,sisi raised number coronavirus case egypt hope billion world bank,2.0,positive
1814,renowned cardiac surgeon dr devi shetty issued list suggestion followed one year protect oneself coronavirus,1.0,positive
1815,indiafightscorona new peak lakh covid test done last hour even high level testing positivity remained low e compared weekly national average e,0.0,neutral
1816,rt factchecknet sorrowful outburst longtime fan see idol ill informed uninterested fact new coronavirus,-1.0,negative
1817,candidate vaccine currently part covax candidate evaluation giving initiative largest diverse covid vaccine portfolio world http co yccw laqeo,0.0,neutral
1818,coronavirus death scotland care facility,0.0,neutral
1819,may seen post social medium suggesting government installing covidsafe app stealth smartphones well correct according fact checker believe misinformation internet read coronacheck instead http co abrmzvzy u http co ixy oa,-2.0,negative
1820,breaking italian doctor died due covid died trying save people life return sacrificed condolence family coronavirus coronaoutbreak covid italy covid ireland,-4.0,negative
1821,new tip released institute higher education help prepare student faculty staff administrator get sick covid close area used sick person cleaning disinfection notify local health official http co ldoxt huu http co x mnhg lyt,-2.0,negative
1822,newsthump guide place visit national lockdown http co rv clsg ck http co znfyydjta,0.0,neutral
1823,eight new case covid reported nigeria fct oyo kaduna osun state pm th march confirmed case covid reported nigeria death http co v ygzvswko,-2.0,negative
1824,quote sen lindsey graham saying president trump probably know medicine specifically virus called scientist nih cdc,0.0,neutral
1825,saint patrick back banish covid time pissed http co pagzfxjnbi,-5.0,negative
1826,angry mob woman coronavirus lockdown storm michigan governor office http co rizerlnu u michigan nail,-3.0,negative
1827,pm narendramodi india take global centerstage setting international task force coordinate effort contain covid pandemic worldwide world leader trump boris johnson scott morrison etc want pm modi lead effort true statesmanship,3.0,positive
1828,coronavirus report dead wuhan china,-3.0,negative
1829,mass vaccination started morning first child received died spot,-3.0,negative
1830,runny nose sputum secretion symptom novel coronavirus,2.0,positive
1831,tablighi jammat grand celebration ramnavami bhuj gujarat aka gujaratmodel april modia modi medium,6.0,positive
1832,self checkup find infected coronavirus,-2.0,negative
1833,trump hail positive talk covid http co mpuji yq v,4.0,positive
1834,achieve reopen metric ready reopen necessarily complicated ultimately case case decision includes factor ppe availability ability trace positive case much much,4.0,positive
1835,key indicator used track covid percentage death attributed pneumonia influenza covid fell prior week cdc continue monitor closely coming week see covidview report http co zp vylo pb http co kcrqskuz,-2.0,negative
1836,indiafightscorona test conducted last hour test per million seen sharp rise detail http co hy muplkpc mohfw india drharshvardhan icmrdelhi pib india ddnewslive airnewsalerts staysafe indiawillwin,1.0,positive
1837,breakdown case state real time please see http co zqrpneofet currently lagos fct ogun ekiti oyo edo total confirmed case covid nigeria,1.0,positive
1838,jorge luis sonnante published minute video went viral network video sonnante describes deacon give falsified evidence charge mix several conspiracy theory meaningless others already denied pandemic caused sars coronavirus cov,-10.0,negative
1839,place bought jean six month ago want know everything combat covid http co yvex ien,0.0,neutral
1840,per delhi govt asymptomatic passenger enter de board nct delhi shall homequarantine day may contact state helpline assistance http co q oscorpe,0.0,neutral
1841,daily update published big milestone today state reported completing test yesterday cumulative test number u note state report comprehensive number detail see http co pzrmh bl,3.0,positive
1842,telangana cm announced lockdown state due coronavirus shall continue till june,0.0,neutral
1843,breathing steam boiling citrus peel prevents cure coronavirus,-1.0,negative
1844,video clip show hanging body mother child committed suicide gujarat food current covid lockdown,-1.0,negative
1845,ground reporting indicating testing capacity constrained right seen data week day average moving upwards testing stalled even case reach new high http co nazcaget,-3.0,negative
1846,day homequarantine passenger returning urban area odisha day institutionalquarantine passenger returning rural area odisha mandatory kindly refer following link contact airline detail http co kzncyfx q http co lw wf guzs,-1.0,negative
1847,brooklyn crime bos salvatore goombalini say new yorkers better start self isolating http co ca tpmnxfm coronavirus brooklyn,-1.0,negative
1848,different coronavirus vaccine undergoing clinical trial russia th person tested gam covid vac http co g bjx skaf http co wontgfuuxn,0.0,neutral
1849,wall stop coronavirus banning travel europe part world stop disease could impact every nation person planet need plan combat,-4.0,negative
1850,covid repurposed drug useful antiviral favipiravir rendesiver antiparasitic ivermectin antimalarial hydroxychloroquine anttibiotics azithromycin doxycycline immune modulators zinc vitamin c quercetin used recommended dos help,8.0,positive
1851,photograph show large bunch worker bulgaria brought ireland pick fruit ignoring social distancing rule outside dublin supermarket,0.0,neutral
1852,new website track record publishing conspiracy theory russian propaganda claimed covid pcr test scientifically meaningless pant fire false http co qmq cx coa,-10.0,negative
1853,news covidiots annoying people use term covidiot say expert http co stqzuvqsxg http co f bkftxkwc,-2.0,negative
1854,guess marketing ceo zoom pelosi daughter newsome cousin,0.0,neutral
1855,based best available data vermont used icu headroom suggests likely enough capacity absorb wave new covid infection http co ovf pqa pc,1.0,positive
1856,world health organisation warned real risk second lockdown follow live http co nyzlpjyfxm,-4.0,negative
1857,indiafightscorona india covid recovery witnessed steep exponential rise may lakh sept high level recovery reported every day recovery nearly time active case total case http co nfqtkags u,2.0,positive
1858,uk face tipping point restrictive measure could brought slow spread covid health secretary matthancock told sky news read click http co n oor ep http co sbpcmusfzj,-1.0,negative
1859,coronavirus discovered broiler chicken,0.0,neutral
1860,texas gop stick convention plan state set new daily record covid case http co cy guazmy,0.0,neutral
1861,clarifies remark asymptomatic coronavirus rare http co v hsi ago,2.0,positive
1862,trudeau tide nation sexually frustrated aunt saying moistly covid moistly http co fmr wbf sl http co xcsfbd bte,-2.0,negative
1863,coronavirus killing people economy,-3.0,negative
1864,country pcr testing death,-2.0,negative
1865,anti viral drug combo appears expedite recovery hospitalized covid patient http co wfwxug bui,-3.0,negative
1866,case study child covid asymptomatic symptomatic child unrecognized symptom time diagnosis http co qfeeb pvvi http co bone vjmzd,0.0,neutral
1867,open school college till vaccine covid know circumstance opening student gathering share food playing create problem india many state opening school schoolsreopening stop,-2.0,negative
1868,video girl collapsing store affected coronavirus,-3.0,negative
1869,rt whophilippines skin skin care early exclusive breastfeeding help baby thrive woman covid supported,8.0,positive
1870,rt depsechargan covid resource child welfare professional family available find guidance faq cdc,0.0,neutral
1871,coronavirusupdates advisory strategy covid testing india version vi,0.0,neutral
1872,pantherman thanks ben alert level moment new zealander returned form normal cabinet meet tomorrow decide move alert level,0.0,neutral
1873,white house run toilet paper http co uivscrz fj donaldtrump pandemic,0.0,neutral
1874,cutting onion small piece eating without water cure coronavirus,-1.0,negative
1875,augusto heleno brazilian general cured covid infection using chloroquine,-2.0,negative
1876,argentine electoral chamber announced legislative election eliminated,0.0,neutral
1877,letter logo aldi claim supermarket encourages people buy animal product cause pandemic,2.0,positive
1878,tv host actress kris aquino rushed hospital testing positive cov hinting covid,2.0,positive
1879,travel allowed go see mum turn big family reunion get level two day wake thursday remember play safe protect wall defence created,3.0,positive
1880,two new test detect sars cov virus minute rolled across uk soon http co pcikohrwmk http co k vt bclbl,0.0,neutral
1881,nation hamster shockingly indifferent global pandemic covid http co dgfibldna http co lwmyzyatpg,-2.0,negative
1882,daily update published tracked million test k yesterday day average keep setting new high detail see http co pzrmh bl http co xwdvhuf oc,0.0,neutral
1883,covid airborne,0.0,neutral
1884,audio explains people symptom covid advice citizen rush test covid even symptom india lesser test kit,0.0,neutral
1885,rt pib india coronawatch total confirmed case case cured recovered sample tested,0.0,neutral
1886,listen share thought migrant cr layoffed worker cooly small entrepreneur auto driver invisible hardship cr indian v seen burecrat vvip elected representative standing line mass essential need lockdown http co qwuqdjft http co ebf rmatlq,-1.0,negative
1887,icymi us bonhomme richard boast zero covid case http co b lcvsiqum,0.0,neutral
1888,today amid covid pandemic trump backed lawsuit dismantle aca enters new phase trump republican ag succeed mean devastation health care system cause untold pain suffering let happen http co tvb tiksny,-2.0,negative
1889,largest covid testing study show case rising across england srileyidd none would possible without involvement hundred thousand member public whose ongoing contribution enabling essential research http co fwbpmvluwr,0.0,neutral
1890,mcdonalds announces making coronavirus testing kit available http co bjtwdcnh mcdonalds coronavirus idea,0.0,neutral
1891,photo circulated facebook showed japanese government official bowing frontliners working covid pandemic,0.0,neutral
1892,daily update published tracked total test k yesterday note track test state report state report negative test detail see http co pzrmh bl http co zumkcfpvpk,-2.0,negative
1893,coronavirusupdates mortality analysis age wise death belong year age group death belong year age group death belong year age group gender wise death among men death among woman http co unj uemeh,-10.0,negative
1894,measure taken community reduce risk covid transmission reduce risk school well country school reopened others remain closed drtedros,-4.0,negative
1895,rt drharshvardhan covid update fight covid since january india crossed another peak cumulative test h,-1.0,negative
1896,mine phone sayardaw predicted covid infection could exceed million worldwide,-2.0,negative
1897,r chief mohan bhagwant said covid shook faith religion,1.0,positive
1898,video show doctor fainting operating room infected new coronavirus,-2.0,negative
1899,world child better chance surviving age ever progress could lost covid disrupts health check immunization child surveyed country calling swift action save child life http co dn rz c k,7.0,positive
1900,rt cdcdirector increase use face mask public across globe slow spread covid participating wor,1.0,positive
1901,corona test completely different purpose one believe told insertion wand deep nasal cavity damage hemato encephalitic septum depth skull testing painful,-5.0,negative
1902,working polling station help reduce risk exposure respiratory disease like covid routinely cleaning disinfecting frequently touched surface voting associated electronics learn http co zjekiqg jg http co tvzp zisnh,1.0,positive
1903,germany united state two best death per people frankly perhaps important number,4.0,positive
1904,faheemyounus sir shall start favipiravir hcq asymptomatic covid antigen positive person asking mother,2.0,positive
1905,nebraska hall dakota colfax dawson county covid hotspot local reporting tied outbreak meatpacking plant hall dawson dakota http co gnsinw j colfax http co zbaodgpuw,-2.0,negative
1906,truck driver tested positive covid kenya tested found negative tanzania,0.0,neutral
1907,even though today update missing data six state new case today day pandemic june better news test result reported today day july,0.0,neutral
1908,worth zooming one state story michigan week ago looked like might turn another new york death rising rapidly peaking per day death slowly declining testing way newly discovered case falling http co ipykx ml,-1.0,negative
1909,breaking joint biosecurity centre recommended uk covid alert level upgraded level three level four meaning transmission virus high rising exponentially read http co v f rq g http co ltg agopz,1.0,positive
1910,agreed plan place part compassionate ground including travel woman followed condition plan including contact anyone journey using public facility,3.0,positive
1911,coronavirusupdate indiafightscorona india continues path high testing lakh test day nd day row test per million tpm continue rise cross positivity remains stable around http co si kdjcm http co w ave c,3.0,positive
1912,news man spent last six week inside playing animal crossing informed coronavirus lockdown http co coexk fl w http co gmolux uaq,0.0,neutral
1913,covid g conspiracy theory continue spread fact checker continue debunk http co e pojyzds qanda factcheck coronavirusfacts,-3.0,negative
1914,ny continues fight pandemic want make sure nyers still struggling financially forced home result covid cuomo said snow ground ok evict http co bspug cd,-3.0,negative
1915,indiafightscorona step take covid case occur office general staff showing flu like illness attend office seek medical advice people show symptom within office space isolate ill person employee staysafe http co vcyss cf,-4.0,negative
1916,pet cat wondering fuck going back work http co fdahtle tc workfromhomelife cat covid http co kaumgbkowt,-4.0,negative
1917,update published state reported record test completed k case k second day row well death one significant caveat total case include k case reporting backlog texas http co ky xdllud,-1.0,negative
1918,video man belonging tabligi jamaat stripped naked vandalizing hospital put quarantine,0.0,neutral
1919,mauritius high population density high rate non communicable disease many international traveller meant high risk quick comprehensive action initiated january previous experience contact tracing paid drtedros covid,-1.0,negative
1920,little chance see coronavirus vaccine november amermedicalassn say http co fmeo bn,2.0,positive
1921,case community linked cluster one remains investigation worker st luke mall linked current outbreak using genome sequencing however confirmed epidemiological link outbreak yet cont,-4.0,negative
1922,test conducted daily lagos daily fct end week isolate patient within le hour confirmation positive result ensure isolation confirmed case covid nigeria http co cunrojzqoq,3.0,positive
1923,indiafightscorona aggressive testing positive case identified contact tracked isolated well prompt treatment ensured pmoindia drharshvardhan ashwinikchoubey pib india ddnewslive airnewsalerts covidnewsbymib pti news,-1.0,negative
1924,russia attempting steal coronavirus vaccine research u u k canada claim http co tsbomm qff,-2.0,negative
1925,latest cdc covidview report show declining several week percentage people testing positive nationally covid increased slightly compared last week cdc continue monitor indicator http co zp vylo pb http co jf dwzvi q,3.0,positive
1926,april u state c u territory reported case covid report covid case widespread essential trip wear cloth face covering keep ft physical distance others http co mcp udspe http co nlvswwhpu,0.0,neutral
1927,free horse thoroughbred horse need home go sugarcreek sat slaughter gentleman died due covid son want nothing,-1.0,negative
1928,number people uk tested positive coronavirus increased official figure show http co osxwz xmd,3.0,positive
1929,every election year disease sars avian flu swine flu mers ebola zika coronavirus,-5.0,negative
1930,trump assigns meat loaf gary busey covid team http co mxxbadxhhh,0.0,neutral
1931,daily update published state reporting long weekend state reported k covid test k case death toll http co ierv wlmmu,-2.0,negative
1932,onion keep free virus including coronavirus,1.0,positive
1933,stigma hurt everyone single group ethnicity population u likely spread covid others find stop covid stigma community http co eln iaope http co zpiyma g,-3.0,negative
1934,rt pib india case per million population india compared world average case per million population dea,0.0,neutral
1935,slacker struggle pretend covid negatively affected http co iazkwxgtik economy money work recession coronavirus,-6.0,negative
1936,bill gate make billion vaccine,0.0,neutral
1937,india cross nine million covid test http co tqimhdoaxh,0.0,neutral
1938,muslim man spitting food restaurant india,0.0,neutral
1939,rt cdcemergency dyk may spread covid even symptom health department tell ex,0.0,neutral
1940,bollywood actor amitabh bachchan son abhishek bachchan daughter law aishwarya bachchan granddaughter aaradhya test positive covid infection indian television actor parth samthaan tested positive coronavirus infection coronavirusfacts http co jlwtes pd,0.0,neutral
1941,video ooni ife nigerian traditional healer say plant product sulphur used treat covid vaccine disease extracted substance,-1.0,negative
1942,pub bar restaurant throughout england forced close pm thursday boris johnson announce new coronavirus crackdown http co mxjfweoi,-1.0,negative
1943,video show naked man vandalizing mosque linking coronavirus pandemic india,0.0,neutral
1944,people wuhan locked inside house trying escape building fire,-3.0,negative
1945,new case covid reported lagos gombe fct zamfara edo ogun oyo kaduna sokoto pm th april confirmed case covid reported nigeria discharged death http co nidv zth,-2.0,negative
1946,rt mohfw india health ministry issue containment surveillance manual supervisor containment zone http co ddiqujsvii,0.0,neutral
1947,wearing face mask prolonged period time cause hypoxia hypercapnia,0.0,neutral
1948,video people italy saying goodbye world standing outside masjid milan control spread covid sars cov virus,0.0,neutral
1949,severe case covid disease cause acute issue health society economy one leading overwhelmed health system fear loss confidence turn social economic disruption http co rl gy cduh,-6.0,negative
1950,first thing leader join force behind accelerator covax facility developed new approach allows country bilateral deal join force facility help u ensure global equity access drtedros covid,5.0,positive
1951,thank every person whose job requires work pandemic healthcare food industry mail delivery many appreciate sacrifice today every day,4.0,positive
1952,per mohfw india covid clinical management protocol fatigue myalgia muscle pain reported symptom covid http co htiph ybo covid covid covid covid covid india corona coronavirus coronavirusindia coronaviruspandemic http co ih w v ce,-4.0,negative
1953,poem people self isolating home shared thousand time facebook twitter april alongside claim written th century reprinted spanish flu pandemic post published world continued endure spread novel coronavirus claim poem evidence history repeat,1.0,positive
1954,daily update published tracked million test k yesterday line last week number note track test state report detail see http co pzrmh bl http co kgwovtnil,0.0,neutral
1955,nsw premier gladysb vic health min jennymikakos compared covid testing rate state favourably world found m berejiklian claim overblown m mikakos claim fair call http co ipxcvwxhu factcheck http co zsemcskgp,4.0,positive
1956,today case bring combined total covid case people reported recovered today two people hospital covid one middlemore north shore hospital neither icu,0.0,neutral
1957,indiafightscorona total death registered past hour death reported yesterday maharashtra death followed karnataka death tamil nadu death detail http co qjaxvovyn staysafe http co fsdgsipdmp,-10.0,negative
1958,michigan report disproportionate amount covid case death among black people state level data reveal way covid impacting local community track covid tracking followed city since end may http co plssfrtgn,-4.0,negative
1959,coronavirus testing centre kent shut reportedly make way lorry park run next big brexit deadline http co faqtturllk,1.0,positive
1960,united state million case covid people died yet donald trump continues say fade away unbelievable paying price president incompetence every single day,-5.0,negative
1961,july pm active covid case vellore tamilnadu mohfw india drharshvardhan drhvoffice covid covid covid coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates http co ottnsqnbw,1.0,positive
1962,pub bar restaurant england forced close pm every night thursday three set measure boris johnson could set announce,-1.0,negative
1963,need ensure every person need coronavirus test get one test free period,2.0,positive
1964,hand dryer ultraviolet disinfection lamp kill virus,-3.0,negative
1965,rt cdctravel cdc helping traveler understand covid risk country make travel plan check covid risk,-2.0,negative
1966,trump university research coronavirus vaccine http co zwndkhqi health coronavirus research trumpuniversity,0.0,neutral
1967,critical point pandemic uk infection rate heading wrong direction warns chief medical officer chris whitty follow live coronavirus update http co j gkyzx tc,-6.0,negative
1968,tulisa contostavlos say sincerely hope coronavirus put leicester mercury business gave album female bos lousy review http co zmz ow c,2.0,positive
1969,hcps learn covid associated vte risk consideration upcoming webinar mark calendar september p et pre register http co gudbpy x http co im po b,-2.0,negative
1970,rt cdcdirector face mask one powerful weapon fight covid wearing mask publi,1.0,positive
1971,game cigar discontinued due covid outbreak factory produce,-2.0,negative
1972,trump medically empty cupboard cupboard say cupboard empty,-2.0,negative
1973,flu shot make someone test positive covid,0.0,neutral
1974,pm th april lagos fct kano ogun gombe katsina osun edo oyo borno kwara akwa ibom kaduna bauchi delta ekiti ondo river jigawa enugu niger abia zamfara sokoto benue anambra adamawa plateau,0.0,neutral
1975,coronavirusupdates indiafightscorona recovery rate reach record high covid recovery rate improved last day http co hosu odjbs,3.0,positive
1976,contact auckland flight update case man left miq christchurch returned negative test covid tested positive auckland,0.0,neutral
1977,coronavirus case totally harmless,0.0,neutral
1978,first case covid reported st december wuhan china five month later disease continues affect people country across globe takeresponsibilty get together http co blajaopw g,-1.0,negative
1979,esmo expert warns continued widespread disruption cancer care due covid http co zm lv hgkz,-3.0,negative
1980,covid update new confirmed case covid report community total active case community outbreak imported case managed isolation quarantine,-1.0,negative
1981,th july total sample tested covid mohfw india drharshvardhan drhvoffice icmrdelhi covidindiaseva covid covid covid coronaupdates coronavirusindia coronavirusupdates coronavirus covidupdates http co vsc e r v,0.0,neutral
1982,hospital pakistan overwhelmed covid patient,0.0,neutral
1983,wear face covering public stay least foot apart wash hand help slow spread covid learn http co jkwwztxyhs http co fmu izjoxf,2.0,positive
1984,updated pui definition covid account new geographic spread virus includes list affected area w widespread sustained community spread likely revised http co vj ddnlasm,-1.0,negative
1985,kenya general election postponed five year government use election budget fight coronavirus,-2.0,negative
1986,coronavirusupdates covid india tracker august confirmed case recovered active case death indiafightscorona indiawillwin staysafe via mohfw india http co qyrdw nxqy,-1.0,negative
1987,fact checking online hoax political claim coronavirus month catch true http co q e vvpj http co qha k pael,0.0,neutral
1988,yes today case fatalityrate stand continuously reducing around mid june mohfw india drharshvardhan covid covid covid covid covid covidupdates coronavirus coronavirusupdates coronaviruspandemic coronavirusindia http co zc ez bhe http co mxelpsvrdc,1.0,positive
1989,nicola sturgeon confirms r number could high scotland read http co cujyg bfpb http co nvb bpgwag,0.0,neutral
1990,drop e attendance covid pandemic highly affected healthcare seeking behaviour imperial em vetsree mara kont flaxter drsamirbhatt drccostelloe khoneyfordstats dralisanders grahamscooke neil ferguson kdhauck shevanthi n pabloperguz http co iki iz,-2.0,negative
1991,vic rollison swannyqld age newspaper reported patient zero victoria second wave coronavirus night duty manager melbourne rydges swanston hotel http co cazgwwbqpw,0.0,neutral
1992,rt cdctravel travel increase chance getting spreading covid cdc advises nonessential international travel,3.0,positive
1993,previous method also made sense primary use statistic understand strain hospital system total strain need captured also bring different state number closer standard,0.0,neutral
1994,coronavirus care home widely exposed covid begin move http co wjw od kaz,1.0,positive
1995,state reported death far day average data set show thousand death reported state including probable confirmed covid death reported nyc yet ny state http co ucyaqrrq,-6.0,negative
1996,flu coronavirus collide real trouble http co hx qc j ol,-5.0,negative
1997,yesterday laboratory processed test total number test completed nz covid tracer app recorded registration increase since yesterday,1.0,positive
1998,said novel coronavirus losing potency,-1.0,negative
1999,get latest covid tracking project delivered straight inbox sign get update weekly newsletter http co aajlwd yuz,1.0,positive
2000,man make face mask baby diaper http co opp rydei coronavirus facemasks diaper,0.0,neutral
2001,seanmdav breaking trumpliedamericansdied realdonaldtrump knew covid airborne chose come forward information trumpdeathtoll k http co ai q np zh,0.0,neutral
2002,news government finalising strategy blame coronavirus death http co ftca h oa http co aqa asmsm,-4.0,negative
2003,indiafightscorona state ut made responsible ensure every hospitalized covid patient receives oxygen,1.0,positive
2004,coronavirus pandemic push price tag larger home record high http co zhg llhdlb,0.0,neutral
2005,photo lung show four stage pneumonia along description symptom stage,0.0,neutral
2006,monitoring infection rate city mayor liverpool joe anderson say local lockdown restriction possibly done bit earlier kayburley http co opc z tnib http co exhpkqy sb,-4.0,negative
2007,august cumulative covid test conducted telangana test performed yesterday covid covid covid covid covid covid india covidupdates coronavirus coronaupdates coronavirusindia http co uqzpnfnix,0.0,neutral
2008,therealstoryplz tlowdon godblsmnymkr justin hart alistairhaimes scaramangi sure even good comparison state know capturing hospital alexismadrigal,3.0,positive
2009,claim shared repeatedly multiple facebook whatsapp twitter post indian government outlawed social medium post novel coronavirus pandemic piece national legislation called disaster management act,1.0,positive
2010,top cardiology society provide strategy ramping elective cardiology procedure covid lockdown lifted http co wd qgfvl,2.0,positive
2011,coronavirusupdates total covid case india september cured discharged migrated active case death total covid confirmed case cured discharged migrated active case death staysafe http co phnlwngmrn,-2.0,negative
2012,rt cdcdirector question covid find answer question updated cdcgov faq page http co q vqp,0.0,neutral
2013,five case previously reported lagos state transferred ogun state therefore lagos reported confirmed case ogun reported confirmed case,0.0,neutral
2014,covid special clinic seen congestion clinic please remember also tested free gp well please stay put help u prioritise testing,5.0,positive
2015,indian prime minister narendra modi selected leader international covid task force,0.0,neutral
2016,man italy commits suicide losing family coronavirus,-4.0,negative
2017,group pupil sent home positive test rather someone developing symptom prime minister said http co mhghunv e,2.0,positive
2018,say certain face mask effective others cloth mask,3.0,positive
2019,respiratory disease pass relatively easily people covid outbreak started urgent need get advice information training equipment frontline worker drtedros http co pqigvicc r,-4.0,negative
2020,latest update ministry health th consecutive day new case covid report new zealand total number confirmed case remains number report world health organization http co v d op,0.0,neutral
2021,truth brad pitt jennifer aniston relationship coronavirus lockdown http co p xkmrhye,0.0,neutral
2022,daily update published tracked million test k yesterday note track test state report detail see http co pzrmh bl,0.0,neutral
2023,facebook post claim asian hong kong swine bird flu killed people coronavirus,-5.0,negative
2024,death continued fall even case hospitalization spike across south west know death trend http co zxferiys http co miujmyd,-4.0,negative
2025,cdc assures american lesson learning covid serve well next pande http co temgy coronavirus,0.0,neutral
2026,covid nigeria know fact q tested covid person meet national case definition covid tested cost five molecular laboratory testing capacity country see national case definition http co kyarnxsy http co nu wmtbllg,0.0,neutral
2027,icmr set covid testing lab leh ft sea level lab across india icmrfightscovid visit http co prkbpcxfq detail http co mnkxe c,0.0,neutral
2028,camila cabello coronavirus advice instagram something keep mind http co raipikpyrr,0.0,neutral
2029,high touch shared item equipment thermometer blood pressure cuff stethoscope spread coronavirus http co g h yp u,0.0,neutral
2030,people handing mask doused chemical knock cold rob,-2.0,negative
2031,medscape poll half provider never treated covid patient http co emzz xdun,0.0,neutral
2032,trump want billion coronavirus spend wall http co wivuvvfmu,1.0,positive
2033,child immune almost immune covid therefore risk school reopenings,0.0,neutral
2034,coronavirusupdates india covid recovery rate improves september steady improvement india covid recovery rate since lockdown initiation march indiafightscorona icmrdelhi via mohfw india http co rje nmb,4.0,positive
2035,anyone get infection almost infection including covid lead sepsis educate family downloading sharing newly updated patient fact sheet http co tv jete oi sam http co gqd wstkeo,-4.0,negative
2036,member tablighi jamaat misbehaving covid quarantine zone,-2.0,negative
2037,coronavirus case around world crossed million mark total casualty nearing half million assam government imposed day complete lockdown guwahati covid coronavirusfacts http co opphrrlnmu,-3.0,negative
2038,cdc say coronavirus spread mainly air respiratory aerosol droplet http co rbhe plla,0.0,neutral
2039,medical university vienna published study ibuprofen coronavirus,0.0,neutral
2040,domestic passenger intending exit mumbai maharshtra within day arrival shall exempted quarantine provided able produce confirmed ticket onward return journey get quarantine exemption http co kzncygeipq http co mceyjcow,0.0,neutral
2041,late april data seems show testing capacity u somewhere close k test per day roughly million test week thus far seen state systematically report antibody testing,0.0,neutral
2042,acute gouty arthritis favipiravir treatment coronavirus disease http co oyxewug c http co f jgkqtgyv,-1.0,negative
2043,clinician must quickly recognize symptom immediately hospitalize patient polio like disease http co qrmflpkg,1.0,positive
2044,diary someone covid self isolation http co ht jz real,0.0,neutral
2045,news deadly coronavirus nothing piss poor bottled lager drinker reassured http co qbpfiupjki http co yrxdc ga f,-8.0,negative
2046,forty year ago written fiction thriller american writer great coincidence mystery reflect totally today scenario coronavirus http co jw au kuxd,3.0,positive
2047,rt mohfw india indiafightscorona india leapfrogged covid test crore test conducted india crossed,0.0,neutral
2048,video man introduces dub another video interview stefano montanari byoblu video blog montanari call nanopathologist claim mask cause u inhale carbon dioxide expelled breathing supposedly produce hypercapnia excess carbon dioxide,-2.0,negative
2049,school administrator learn indicator use prepare plan respond covid indicator provide benchmark lowest highest covid risk school operation learn http co wytp wgx http co yolay ypwy,-3.0,negative
2050,fact check major cause death covid thrombosis pneumonia long time news circulating,-2.0,negative
2051,kroger corporate say employee wear flag mask wear blm mask,0.0,neutral
2052,say sen thom tillis think restaurant worker wash hand,0.0,neutral
